Sun Aug 13 19:02:06 2023    results

         1162774169 function calls (825703045 primitive calls) in 464.795 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      401    0.002    0.000    0.265    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\std.py:1326(refresh)
      402    0.002    0.000    0.003    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\std.py:1447(format_dict)
      402    0.001    0.000    0.259    0.001 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\std.py:1465(display)
      402    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:107(__init__)
      402    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:111(__format__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:124(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:138(__getattr__)
        3    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:151(wrapper_setattr)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:155(__init__)
      806    0.002    0.000    0.216    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:193(inner)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:186(disable_on_exception)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:212(__init__)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:221(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:251(_is_utf)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:265(_supports_unicode)
      804    0.002    0.000    0.003    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:272(_is_ascii)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:281(_screen_shape_wrapper)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:296(_screen_shape_windows)
    19982    0.005    0.000    0.007    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:374(<genexpr>)
      402    0.001    0.000    0.010    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:373(_text_width)
      402    0.001    0.000    0.012    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\site-packages\tqdm\utils.py:377(disp_len)
        1    0.000    0.000  464.795  464.795 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\image_to_graph.py:42(grid2graph)
        1    0.000    0.000    0.093    0.093 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\image_to_graph.py:20(image_to_graph)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\image_to_graph.py:16(img_to_cartesian)
        4    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\image_to_graph.py:13(scale)
        1    0.000    0.000    3.502    3.502 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:136(min_cut_max_flow)
        1    0.002    0.002    0.002    0.002 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:125(add_source_sink)
      400    0.007    0.000    0.037    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:119(get_edge_vectors)
        1    0.017    0.017    0.235    0.235 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:109(knn_reduced_graph)
     9600    0.002    0.000    0.002    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:116(<lambda>)
        1    0.000    0.000    1.120    1.120 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:33(euclidean_graph)
        1    0.044    0.044    0.914    0.914 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:39(<listcomp>)
    79800    0.263    0.000    0.869    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:29(euclidean_weight)
        1    0.077    0.077    0.102    0.102 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:15(make_complete)
      400    0.006    0.000    0.174    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:9(knn)
      400    0.046    0.000    0.122    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:12(<listcomp>)
     9600    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\graph.py:11(<lambda>)
        1    0.017    0.017  459.680  459.680 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\optimizer.py:8(get_graph_weights)
      401    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\image_to_graph.py:7(primitive_threshold)
        1    0.011    0.011  464.788  464.788 c:\users\curtis senpai\onedrive\current classes\flat_norm_on_graphs\src\main.py:44(main)
   258104    1.744    0.000  458.861    0.002 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\functional.py:47(wrap)
      400    0.002    0.000    0.006    0.000 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\functional.py:22(c2_2d)
        1    0.007    0.007  464.795  464.795 c:\users\curtis senpai\onedrive\current classes\flat_norm_on_graphs\src\main.py:36(wrapper)
316981316/258104  252.789    0.000  288.556    0.001 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\bst.py:23(maxDiffUtil)
   258104    0.207    0.000  288.763    0.001 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\bst.py:44(closest_angle)
   258104    2.458    0.000  296.353    0.001 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\functional.py:56(c3_2d_integral)
      400    0.378    0.001  459.258    1.148 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\functional.py:68(construct_weights_system)
      400    0.001    0.000  459.330    1.148 C:\Users\Curtis Senpai\OneDrive\Current classes\flat_norm_on_graphs\src\functional.py:82(solve_weights_system)
        1    0.000    0.000    0.000    0.000 <class 'networkx.utils.decorators.argmap'> compilation 4:1(argmap_reverse_view_1)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      562    0.000    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\abc.py:117(__instancecheck__)
      150    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\abc.py:121(__subclasscheck__)
   176804    0.056    0.000    0.080    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\_collections_abc.py:840(items)
      407    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\_collections_abc.py:844(values)
   177211    0.023    0.000    0.023    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\_collections_abc.py:862(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\_collections_abc.py:865(__len__)
  4355198    1.090    0.000    1.839    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\_collections_abc.py:909(__iter__)
     8983    0.002    0.000    0.004    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\_collections_abc.py:928(__iter__)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\warnings.py:117(_formatwarnmsg)
        1    0.000    0.000    0.000    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\warnings.py:403(__init__)
      513    0.001    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\contextlib.py:102(__init__)
      513    0.000    0.000    0.001    0.000 C:\Users\Curtis Senpai\anaconda3\envs\spyder\lib\contextlib.py:130(__enter__)
